slug,filename,path,title_guess,pages,words,chars,tags,text_path,note_path
15744-tokur-token-level-uncert,15744_TokUR_Token_Level_Uncert.pdf,C:\Users\613\Desktop\papers\推理\15744_TokUR_Token_Level_Uncert.pdf,===== PAGE 1 / 33 ===== Published as a conference paper at ICLR 2026,33,22276,117537,uncertainty,texts/15744-tokur-token-level-uncert.txt,notes/15744-tokur-token-level-uncert.md
adynamicalsystemsviewvia,ADynamicalSystemsViewvia.pdf,C:\Users\613\Desktop\papers\推理\ADynamicalSystemsViewvia.pdf,When Do LLMs Reason? A Dynamical Systems View via Entropy Phase Transitions,36,19982,115616,geometry;dynamics;faithfulness;uncertainty;hallucination;emergence,texts/adynamicalsystemsviewvia.txt,notes/adynamicalsystemsviewvia.md
alvarez和baheri-2026-where-does-reasoning-break-step-level-hallucination-detection-via-hidden-sta,Alvarez和Baheri - 2026 - Where Does Reasoning Break Step-Level Hallucination Detection via Hidden-State Transport Geometry.pdf,C:\Users\613\Desktop\papers\推理\Alvarez和Baheri - 2026 - Where Does Reasoning Break Step-Level Hallucination Detection via Hidden-State Transport Geometry.pdf,Where Does Reasoning Break? Step-Level Hallucination Detection via Hidden-State Transport Geometry,14,8125,48442,geometry;dynamics;uncertainty;hallucination;step-level,texts/alvarez和baheri-2026-where-does-reasoning-break-step-level-hallucination-detection-via-hidden-sta.txt,notes/alvarez和baheri-2026-where-does-reasoning-break-step-level-hallucination-detection-via-hidden-sta.md
an-isotropic-approach-to-efficient-uncertainty,An Isotropic Approach to Efficient Uncertainty.pdf,C:\Users\613\Desktop\papers\推理\An Isotropic Approach to Efficient Uncertainty.pdf,An Isotropic Approach to Efficient Uncertainty Quantification with Gradient Norms,30,15437,98928,geometry;uncertainty,texts/an-isotropic-approach-to-efficient-uncertainty.txt,notes/an-isotropic-approach-to-efficient-uncertainty.md
atheory-of-multineuronal-dimensionality-dynamics-and-measurement,"Atheory of multineuronal dimensionality, dynamics and measurement.pdf","C:\Users\613\Desktop\papers\推理\Atheory of multineuronal dimensionality, dynamics and measurement.pdf","A theory of multineuronal dimensionality, dynamics and measurement",50,32411,192503,geometry;dynamics;emergence,texts/atheory-of-multineuronal-dimensionality-dynamics-and-measurement.txt,notes/atheory-of-multineuronal-dimensionality-dynamics-and-measurement.md
dynamics-within-latent-chain-of-thought,DYNAMICS WITHIN LATENT CHAIN-OF-THOUGHT.pdf,C:\Users\613\Desktop\papers\推理\DYNAMICS WITHIN LATENT CHAIN-OF-THOUGHT.pdf,===== PAGE 1 / 22 ===== Published at Latent & Implicit Thinking Workshop @ ICLR 2026,22,11140,71070,dynamics;faithfulness;emergence,texts/dynamics-within-latent-chain-of-thought.txt,notes/dynamics-within-latent-chain-of-thought.md
edis-diagnosing-llm-reasoning-via-entropy-dynamics,EDIS-Diagnosing LLM Reasoning via Entropy Dynamics.pdf,C:\Users\613\Desktop\papers\推理\EDIS-Diagnosing LLM Reasoning via Entropy Dynamics.pdf,EDIS: Diagnosing LLM Reasoning via Entropy Dynamics,16,8735,52503,dynamics;faithfulness;uncertainty;hallucination;emergence,texts/edis-diagnosing-llm-reasoning-via-entropy-dynamics.txt,notes/edis-diagnosing-llm-reasoning-via-entropy-dynamics.md
effective-reasoning-chains-reduce-intrinsic-dimensionality,Effective Reasoning Chains Reduce Intrinsic Dimensionality.pdf,C:\Users\613\Desktop\papers\推理\Effective Reasoning Chains Reduce Intrinsic Dimensionality.pdf,Effective Reasoning Chains Reduce Intrinsic Dimensionality,20,11820,71674,faithfulness,texts/effective-reasoning-chains-reduce-intrinsic-dimensionality.txt,notes/effective-reasoning-chains-reduce-intrinsic-dimensionality.md
entropy-phase-transitions,Entropy Phase Transitions.pdf,C:\Users\613\Desktop\papers\推理\Entropy Phase Transitions.pdf,When Do LLMs Reason? A Dynamical Systems View via Entropy Phase Transitions,36,19982,115616,geometry;dynamics;faithfulness;uncertainty;hallucination;emergence,texts/entropy-phase-transitions.txt,notes/entropy-phase-transitions.md
entropy-trajectory-shape-predicts-llm-reasoning,ENTROPY TRAJECTORY SHAPE PREDICTS LLM REASONING.pdf,C:\Users\613\Desktop\papers\推理\ENTROPY TRAJECTORY SHAPE PREDICTS LLM REASONING.pdf,Entropy trajectory shape predicts LLM reasoning reliability: A diagnostic study of uncertainty dynamics in chain-of-thought,18,11462,68273,dynamics;faithfulness;uncertainty;step-level,texts/entropy-trajectory-shape-predicts-llm-reasoning.txt,notes/entropy-trajectory-shape-predicts-llm-reasoning.md
